user,text,created_at
gindoduri,"RT @Yurissa_Samosir: @geloraco Rakyat itu Udah Cerdas Pilih Pak Anies karena Terbukti Punya Prestasi dan Berahlak, sedangkan Ganjar Hobi No…",2022-11-30 01:18:31+00:00
IdaOnurat,"@VIVAcoid Ganjar dipilih penguasa, Anies dipilih rakyat",2022-11-30 01:18:13+00:00
AdeCand65866045,"RT @Relawananies: Kehadiran Anies di Muktamar ke-41 Al-Irsyad Digantikan Ganjar, Refly Harun: Takut Anies Makin Populer

https://t.co/EttpA…",2022-11-30 01:18:03+00:00
CahTewe,@pn7l7h @dwioktariyadi @Roomans_86 @kawananraja @AhlulQohwah @Paltiwest Bisa jadi kerutan punya om wowo rambut putih punya pak ganjar 🤭🤭😂😂,2022-11-30 01:18:01+00:00
SemestaBicara11,"RT @Urrangawak: Bisa lihat kan Kharisma yang terpancar dari Ganjar Pranowo.

Buang semua keraguan kalian, karena Orang Benar, Pilih Ganjar…",2022-11-30 01:17:39+00:00
Dediy_orlando,@alifaltama @meow_leader @dandanillalimbo @ajicules11 @gibran_tweet wkwkw ngakak nu buzzer suka nyerang capres tert… https://t.co/FhGqaW5WEU,2022-11-30 01:17:30+00:00
chaterine_8,"""Memang yg dirujuk oleh Presiden Jokowi adlh Bapak Ganjar Pranowo. Pak @erickthohir juga salah satu pemimpin yg ser… https://t.co/zLkrJh2O0i",2022-11-30 01:17:19+00:00
gumukcandi,@RizkiR4madani @ganjarpranowo Tolong sampaikan pak ganjar https://t.co/AVjwUqJ9ed,2022-11-30 01:17:10+00:00
Qurni48,"RT @niniek2504: Ganjar, Prabowo, Anies, dan Puan, dan pemilih tahu ke4 calon tersebut, 
Ganjar  45,5 %
Anies 24,6 %
Prabowo 21,4 %
Puan 3,3…",2022-11-30 01:16:50+00:00
meipri,Ganjar Pranobo NOnton BOkep,2022-11-30 01:16:39+00:00
najonghulu,"RT @ferizandra: @panca66 Di depan Prabowo : Saya ini udah 2x... kali ini giliran Pak Prabowo...

Di depan Ganjar : Orang yang rambutnya put…",2022-11-30 01:16:36+00:00
dedeeesh,"RT @Y07d1_40s1H: DI DEPAN PRABOWO DIA BILANG 2024 JATAH Y PRABOWO..

DI DEPAN GANJAR DIA BILANG PILIHLAH PEMIMPIN YANG RAMBUT Y PUTIH..

DI…",2022-11-30 01:16:34+00:00
HasanKuprit87,@ganjarpranowo Sehat selalu buat pak ganjar,2022-11-30 01:16:22+00:00
kasrulsani9,"RT @Urrangawak: Bisa lihat kan Kharisma yang terpancar dari Ganjar Pranowo.

Buang semua keraguan kalian, karena Orang Benar, Pilih Ganjar…",2022-11-30 01:15:59+00:00
Chaniefnugroho,"RT @udhinjogja: @VIVAcoid @ChartaPolitika asbun 🤣🤣
Kmarin bilang @NasDem rontok ngusung anies &amp; skarang ngomong @PDI_Perjuangan ditinggal p…",2022-11-30 01:15:56+00:00
khentus10,"RT @Hasbil_Lbs: Yg lalu Anies/AHY (1066 vote) Vs Ganjar/Khofifah (199 vote) 

Nah sekarang saya coba pasangan ini. Siapa yg akan anda pilih…",2022-11-30 01:15:35+00:00
